OPERS Inventory Report created at 25-MAR-2026 00:01:00
Excluding zone: MSH
 
,"Code","Material","Pile","Month Begin","Transfers","Receipts","Buckets","Issues","Adjustments","Depletions","Operating Inventory","Last Zero Date"
,"10011558","181 SCRAP","ASN ","0","0","0","0","0","0","0","0",""
,"10011559","181 TUNDISH","581 ","0","0","167,460","0","0","0","0","167,460","3/20/2026"
,"10011559","181 TUNDISH","58A ","367,970","0","0","0","0","0","0","367,970","9/12/2023"
,"10011559","181 TUNDISH","58R ","54,601","0","0","0","0","0","0","54,601","12/10/2025"
,"10011559","181 TUNDISH","58W ","118,351","0","0","0","0","0","0","118,351","2/12/2026"
,"10011560","151 HOME","816 ","41,490","-48,900","0","-5,600","0","-1","13,011","0","3/24/2026"
,"10011560","151 HOME","817 ","0","94,900","19,200","-8,000","0","1","0","106,101","3/9/2026"
,"10011560","151 HOME","81C ","27,510","-46,000","29,000","0","0","0","0","10,510","5/13/2022"
,"10011561","151 RECLAIM","823 ","286,840","-141,900","0","-15,600","0","-2","-129,338","0","3/24/2026"
,"10011561","151 RECLAIM","824 ","0","141,900","0","-33,250","0","1","0","108,651","3/9/2026"
,"10011561","151 RECLAIM","82B ","56,911","-36,550","0","-14,900","0","0","-5,461","0","3/24/2026"
,"10011561","151 RECLAIM","82D ","0","36,550","0","0","0","1","0","36,551","3/9/2026"
,"10011562","151 TUNDISH","833 ","689,780","0","0","-34,000","0","0","0","655,780","6/15/2023"
,"10011647","409 TUNDISH","311 ","0","0","130,700","0","0","0","0","130,700","3/23/2026"
,"10011650","409NI TUNDISH","674 ","15,220","0","86,260","0","0","0","0","101,480","10/16/2025"
,"10011651","430 RECLAIM","484 ","131,110","0","0","-42,000","0","0","0","89,110","11/10/2025"
,"10011652","436 RECLAIM","902 ","45,180","0","0","-48,200","0","0","3,020","0","3/24/2026"
,"10011653","435 RECLAIM","234 ","51,580","0","0","-45,100","0","0","0","6,480","12/3/2025"
,"10011654","181 RECLAIM","613 ","18,280","0","0","-30,000","0","0","11,720","0","3/24/2026"
,"10011654","181 RECLAIM","614 ","0","0","54,260","-50,450","0","0","-3,810","0","3/24/2026"
,"10011654","181 RECLAIM","615 ","0","0","272,620","-102,000","0","0","0","170,620","3/11/2026"
,"10011657","436 SCRAP","944 ","2,890,760","-312,850","351,340","-1,016,550","0","-7,700","0","1,905,000","8/6/2025"
,"10011657","436 SCRAP","945 ","0","312,850","334,720","-481,550","0","0","0","166,020","3/13/2026"
,"10011657","436 SCRAP","94C ","156,060","0","57,000","0","0","-113,710","0","99,350","5/28/2025"
,"10011657","436 SCRAP","ASN ","0","0","0","0","0","0","0","0",""
,"10011660","430/439/409 BLEND SC","144 ","4,330,530","339,550","302,350","-349,200","0","0","0","4,623,230","11/26/2024"
,"10011660","430/439/409 BLEND SC","147 ","5,627,495","-296,250","2,430,170","-3,201,500","0","0","0","4,559,915","8/28/2025"
,"10011660","430/439/409 BLEND SC","14A ","73,640","0","0","0","0","0","0","73,640","4/17/2025"
,"10011660","430/439/409 BLEND SC","14C ","148,011","-43,300","0","0","0","0","0","104,711","2/17/2026"
,"10011660","430/439/409 BLEND SC","14H ","0","0","209,500","0","0","0","0","209,500","2/27/2026"
,"10011660","430/439/409 BLEND SC","ASN ","0","0","0","0","0","0","0","0",""
,"10011663","435 HOME SCRAP","260 ","203,081","37,600","0","-46,150","0","129,198","0","323,729","9/18/2025"
,"10011663","435 HOME SCRAP","261 ","0","6,450","0","0","0","129,751","0","136,201","3/6/2026"
,"10011663","435 HOME SCRAP","265 ","0","0","0","0","0","1","0","1","3/6/2026"
,"10011663","435 HOME SCRAP","26C ","78,779","-44,050","0","0","0","-21,850","0","12,879","6/23/2023"
,"10011663","435 HOME SCRAP","26U ","4,130","0","0","0","0","0","0","4,130","2/10/2026"
,"10011667","439 RECLAIM","362 ","172,520","0","266,980","-267,100","0","0","0","172,400","2/24/2026"
,"10011668","439 TUNDISH","370 ","500,260","-496,650","0","-265,800","0","0","0","-262,190","5/29/2025"
,"10011668","439 TUNDISH","371 ","0","496,650","112,060","0","0","0","0","608,710","3/20/2026"
,"10011669","439 HOME SCRAP","384 ","635,731","363,150","39,320","-249,850","0","0","0","788,351","12/10/2025"
,"10011669","439 HOME SCRAP","38C ","467,109","-222,800","76,180","0","0","0","0","320,489","8/17/2021"
,"10011669","439 HOME SCRAP","38M ","0","0","182,500","0","0","0","0","182,500","3/10/2026"
,"10011669","439 HOME SCRAP","38U ","49,730","-140,350","200,700","0","0","0","0","110,080","11/11/2025"
,"10012170","55% CHRG CR LUMP EAF","441 ","3,118,290","0","8,357,480","-8,905,590","0","0","0","2,570,180","2/16/2026"
,"10012170","55% CHRG CR LUMP EAF","447 ","1,759,730","0","4,327,200","-3,827,260","0","0","0","2,259,670","2/3/2026"
,"10012284","EAF 75% FESI LUMP","525 ","477,660","0","444,060","-533,740","0","0","0","387,980","1/16/2024"
,"10012360","MOLYBDENUM OXIDE","923 ","98,002","0","0","-128,650","0","77,927","0","47,279","12/22/2025"
,"10012420","CHARGE COKE","291 ","98,556","0","0","-8,380","0","0","0","90,176","12/8/2017"
,"10012420","CHARGE COKE","29B ","74,250","0","0","0","0","0","0","74,250","6/27/2017"
,"10012998","MIXED ALLOYS","931 ","232,595","0","0","0","0","0","0","232,595","5/25/2016"
,"10031006","HI CALCIUM LIME EAF","984 ","236,150","0","3,332,660","-3,492,940","0","72,500","0","148,370","11/14/2015"
,"10031008","DOLOMITIC LIME","864 ","137,324","0","189,060","-1,404,410","0","0","0","-1,078,026","11/14/2015"
