OPERS Inventory Report created at 30-MAR-2026 00:00:59
Excluding zone: MSH
 
,"Code","Material","Pile","Month Begin","Transfers","Receipts","Buckets","Issues","Adjustments","Depletions","Operating Inventory","Last Zero Date"
,"10011425","MIDDLETOWN SCRAP","20X ","74,801","0","0","0","0","0","0","74,801","11/22/2021"
,"10011425","MIDDLETOWN SCRAP","ASN ","0","0","0","0","0","0","0","0",""
,"10011446","HBI\Hot Briq Iron","091 ","2,213,920","0","4,185,520","0","0","0","0","6,399,440","2/25/2026"
,"10011446","HBI\Hot Briq Iron","092 ","0","0","10,318,590","-8,010,950","0","0","0","2,307,640","3/9/2026"
,"10011446","HBI\Hot Briq Iron","097 ","14,461,010","0","869,240","-8,249,000","0","0","0","7,081,250","5/27/2025"
,"10011446","HBI\Hot Briq Iron","098 ","9,460,300","0","6,740,980","-6,543,900","0","0","0","9,657,380","10/10/2025"
,"10011446","HBI\Hot Briq Iron","099 ","1,639,910","0","2,609,720","-4,254,750","0","0","5,120","0","3/24/2026"
,"10011502","409 ALUMINIZED SCRAP","391 ","170,700","15,000","0","-174,650","0","-1","-11,049","0","3/24/2026"
,"10011502","409 ALUMINIZED SCRAP","39C ","0","-15,000","0","0","0","14,801","199","0","3/27/2026"
,"10011503","409 SCRAP","401 ","1,843,245","683,000","1,447,770","-2,242,250","0","-16,360","0","1,715,405","8/29/2025"
,"10011503","409 SCRAP","408 ","1,652,469","-673,900","374,200","-424,700","0","167,900","0","1,095,969","1/30/2025"
,"10011503","409 SCRAP","40A ","0","7,950","74,575","0","0","-74,120","0","8,405","3/6/2026"
,"10011503","409 SCRAP","40C ","-27,140","-17,050","0","0","0","-26,700","0","-70,890","11/24/2025"
,"10011503","409 SCRAP","40G ","0","0","197,250","0","0","0","-197,250","0","3/26/2026"
,"10011503","409 SCRAP","40H ","0","0","388,750","0","0","-200,650","-188,100","0","3/26/2026"
,"10011503","409 SCRAP","40K ","0","0","198,000","0","0","0","-198,000","0","3/26/2026"
,"10011503","409 SCRAP","40S ","0","0","90,760","0","0","-45,520","0","45,240","3/4/2026"
,"10011503","409 SCRAP","ASN ","0","0","0","0","0","0","0","0",""
,"10011509","430 SCRAP","504 ","2,933,680","-67,850","2,289,630","-4,319,450","0","186,240","0","1,022,250","7/9/2025"
,"10011509","430 SCRAP","505 ","3,134,540","67,850","198,800","-1,191,850","0","0","0","2,209,340","9/22/2025"
,"10011509","430 SCRAP","50C ","56,884","0","0","0","0","-267,900","0","-211,016","4/4/2025"
,"10011509","430 SCRAP","50G ","0","0","338,750","0","0","-196,750","-142,000","0","3/26/2026"
,"10011509","430 SCRAP","ASN ","0","0","0","0","0","0","0","0",""
,"10011512","409 RECLAIM","410 ","0","0","550,080","-101,150","0","0","0","448,930","3/24/2026"
,"10011512","409 RECLAIM","418 ","169,300","-44,350","147,380","-425,150","0","0","152,820","0","3/24/2026"
,"10011512","409 RECLAIM","419 ","0","44,350","218,980","-260,950","0","0","-2,380","0","3/25/2026"
,"10011512","409 RECLAIM","41B ","97,120","0","424,340","-387,300","0","0","25,390","159,550","3/23/2026"
,"10011512","409 RECLAIM","41X ","1,186,310","0","1,312,160","-1,281,470","0","0","0","1,217,000","8/29/2023"
,"10011513","409 CONVERTOR SCRAP","433 ","2,133,940","0","400,840","-1,419,250","0","0","0","1,115,530","3/24/2025"
,"10011513","409 CONVERTOR SCRAP","434 ","1,788,980","0","0","0","0","0","0","1,788,980","10/1/2025"
,"10011515","446-24 Scrap","132 ","85,249","0","0","0","0","0","-85,249","0","3/25/2026"
,"10011515","446-24 Scrap","134 ","21,751","5,750","0","0","0","0","0","27,501","11/19/2025"
,"10011515","446-24 Scrap","13C ","3,399","-5,750","0","0","0","0","2,351","0","3/25/2026"
,"10011516","409NI SCRAP","645 ","374,280","-489,150","67,960","0","0","-1","46,911","0","3/24/2026"
,"10011516","409NI SCRAP","646 ","0","489,150","158,600","-198,550","0","1","0","449,201","3/9/2026"
,"10011516","409NI SCRAP","64C ","14,420","0","0","0","0","0","0","14,420","5/5/2025"
,"10011521","435 SCRAP","245 ","0","675,600","56,980","0","0","1","0","732,581","3/23/2026"
,"10011521","435 SCRAP","247 ","1,719,999","-1,591,850","0","-254,800","0","-1","0","-126,652","5/20/2025"
,"10011521","435 SCRAP","248 ","688,801","916,250","879,660","-1,109,850","0","-8,900","0","1,365,961","2/11/2026"
,"10011521","435 SCRAP","24C ","171,730","0","187,480","0","0","-229,240","0","129,970","12/18/2023"
,"10011526","409NI RECLAIM","659 ","199,410","0","0","-152,650","0","0","0","46,760","11/18/2025"
,"10011528","409 HOME SCRAP","321 ","149,970","263,250","177,140","-619,700","0","78,500","0","49,160","9/25/2025"
,"10011528","409 HOME SCRAP","32A ","0","0","67,200","0","0","0","0","67,200","3/25/2026"
,"10011528","409 HOME SCRAP","32C ","70,152","-239,800","26,840","0","0","27,200","0","-115,608","5/17/2021"
,"10011528","409 HOME SCRAP","32L ","30,750","-23,450","20,880","0","0","0","0","28,180","9/3/2025"
,"10011528","409 HOME SCRAP","32U ","83,500","0","0","0","0","0","0","83,500","9/17/2021"
,"10011528","409 HOME SCRAP","ASN ","0","0","0","0","0","0","0","0",""
,"10011529","430 & 440 HOME","518 ","406,059","-588,900","0","-10,000","0","140,050","52,791","0","3/24/2026"
,"10011529","430 & 440 HOME","519 ","0","746,800","20,720","-64,550","0","127,850","0","830,820","3/19/2026"
,"10011529","430 & 440 HOME","51C ","72,020","-157,900","0","0","0","0","0","-85,880","6/3/2021"
,"10011529","430 & 440 HOME","51U ","35,320","0","0","0","0","0","0","35,320","12/26/2025"
,"10011531","436 HOME SCRAP","951 ","0","13,550","0","0","0","1","0","13,551","3/23/2026"
,"10011531","436 HOME SCRAP","952 ","113,570","178,100","35,900","-155,750","0","160,699","0","332,519","2/25/2026"
,"10011531","436 HOME SCRAP","956 ","74,251","53,800","0","0","0","0","0","128,051","2/6/2026"
,"10011531","436 HOME SCRAP","957 ","76,380","-53,800","0","0","0","0","-22,580","0","3/24/2026"
,"10011531","436 HOME SCRAP","958 ","41,110","-31,700","0","0","0","-1","-9,409","0","3/24/2026"
,"10011531","436 HOME SCRAP","95C ","142,610","-126,100","26,260","0","0","15,800","0","58,570","9/15/2022"
,"10011531","436 HOME SCRAP","95J ","16,001","0","0","0","0","0","0","16,001","2/6/2026"
,"10011531","436 HOME SCRAP","95S ","0","31,700","0","0","0","1","0","31,701","3/16/2026"
,"10011531","436 HOME SCRAP","95U ","0","-65,550","98,720","0","0","0","0","33,170","3/3/2026"
,"10011532","409NI HOME SCRAP","620 ","33,080","0","0","0","0","0","0","33,080","12/12/2025"
,"10011532","409NI HOME SCRAP","62Q ","108,700","0","0","0","0","0","0","108,700","6/27/2018"
,"10011532","409NI HOME SCRAP","62U ","57,460","0","0","0","0","0","0","57,460","5/30/2017"
,"10011532","409NI HOME SCRAP","62Z ","29,900","0","0","0","0","0","0","29,900","1/16/2026"
,"10011533","181/409 BLEND SCRAP","155 ","2,785,130","0","130,720","-1,178,450","0","0","0","1,737,400","7/16/2025"
,"10011533","181/409 BLEND SCRAP","156 ","1,212,800","0","0","0","0","598,250","0","1,811,050","2/11/2026"
,"10011533","181/409 BLEND SCRAP","15G ","0","0","193,100","0","0","0","-193,100","0","3/26/2026"
,"10011533","181/409 BLEND SCRAP","15T ","0","0","167,900","0","0","0","-167,900","0","3/26/2026"
,"10011533","181/409 BLEND SCRAP","ASN ","0","0","0","0","0","0","0","0",""
,"10011536","300 STAINLESS SCRAP","736 ","831,121","43,250","310,920","-275,400","0","-1","0","909,890","7/9/2025"
,"10011536","300 STAINLESS SCRAP","73C ","0","-43,250","0","0","0","1","43,249","0","3/25/2026"
,"10011540","430 TUNDISH SKULL","493 ","955,770","0","68,160","-246,550","0","0","0","777,380","8/30/2023"
,"10011542","444 RECLAIM","761 ","588,170","0","0","-20,150","0","0","0","568,020","11/30/2021"
,"10011543","436 TUNDISH","915 ","69,510","0","0","-116,050","0","0","46,540","0","3/24/2026"
,"10011543","436 TUNDISH","916 ","0","0","277,200","-43,700","0","0","0","233,500","3/20/2026"
,"10011545","435 TUNDISH","255 ","88,020","0","22,460","0","0","0","0","110,480","2/6/2026"
,"10011546","444 TUNDISH","770 ","25,580","0","0","0","0","0","0","25,580","1/16/2026"
,"10011557","181 HOME SCRAP","590 ","38,110","248,450","64,560","-212,250","0","75,900","0","214,770","2/17/2026"
,"10011557","181 HOME SCRAP","59A ","19,380","0","0","0","0","0","0","19,380","3/28/2025"
,"10011557","181 HOME SCRAP","59C ","238,329","-227,500","33,160","0","0","0","0","43,989","7/12/2021"
,"10011557","181 HOME SCRAP","59J ","100,051","44,300","16,540","-11,700","0","0","0","149,191","2/12/2026"
,"10011557","181 HOME SCRAP","59R ","60,901","31,500","0","0","0","0","0","92,401","12/10/2025"
,"10011557","181 HOME SCRAP","59U ","27,680","-96,750","32,900","0","0","0","36,170","0","3/25/2026"
,"10011558","181 SCRAP","606 ","5,336,989","0","362,750","-1,975,650","0","729,100","0","4,453,189","11/5/2024"
,"10011558","181 SCRAP","60C ","-10,680","0","0","0","0","-37,440","0","-48,120","1/21/2026"
,"10011558","181 SCRAP","ASN ","0","0","0","0","0","0","0","0",""
,"10011559","181 TUNDISH","581 ","0","0","208,540","-56,650","0","0","0","151,890","3/20/2026"
,"10011559","181 TUNDISH","58A ","367,970","0","0","0","0","0","0","367,970","9/12/2023"
,"10011559","181 TUNDISH","58R ","54,601","0","0","0","0","0","0","54,601","12/10/2025"
,"10011559","181 TUNDISH","58W ","118,351","0","0","0","0","0","0","118,351","2/12/2026"
,"10011560","151 HOME","816 ","41,490","-48,900","0","-5,600","0","-1","13,011","0","3/24/2026"
,"10011560","151 HOME","817 ","0","94,900","19,200","-13,250","0","1","0","100,851","3/9/2026"
,"10011560","151 HOME","81C ","27,510","-46,000","29,000","0","0","0","0","10,510","5/13/2022"
,"10011561","151 RECLAIM","823 ","286,840","-141,900","0","-15,600","0","-2","-129,338","0","3/24/2026"
,"10011561","151 RECLAIM","824 ","0","141,900","0","-48,450","0","1","0","93,451","3/9/2026"
,"10011561","151 RECLAIM","82B ","56,911","-36,550","0","-14,900","0","0","-5,461","0","3/24/2026"
,"10011561","151 RECLAIM","82D ","0","36,550","0","0","0","1","0","36,551","3/9/2026"
,"10011562","151 TUNDISH","833 ","689,780","0","32,040","-44,300","0","0","0","677,520","6/15/2023"
,"10011647","409 TUNDISH","311 ","0","0","193,840","-147,400","0","0","0","46,440","3/23/2026"
,"10011650","409NI TUNDISH","674 ","15,220","0","86,260","0","0","0","0","101,480","10/16/2025"
,"10011651","430 RECLAIM","484 ","131,110","0","0","-78,900","0","0","0","52,210","11/10/2025"
,"10011652","436 RECLAIM","902 ","45,180","0","0","-48,200","0","0","3,020","0","3/24/2026"
,"10011652","436 RECLAIM","903 ","0","0","80,340","0","0","0","0","80,340","3/27/2026"
,"10011653","435 RECLAIM","234 ","51,580","0","85,220","-45,100","0","0","0","91,700","12/3/2025"
,"10011654","181 RECLAIM","613 ","18,280","0","0","-30,000","0","0","11,720","0","3/24/2026"
,"10011654","181 RECLAIM","614 ","0","0","54,260","-50,450","0","0","-3,810","0","3/24/2026"
,"10011654","181 RECLAIM","615 ","0","0","367,260","-151,750","0","0","0","215,510","3/11/2026"
,"10011657","436 SCRAP","944 ","2,890,760","-312,850","351,340","-1,016,550","0","-7,700","0","1,905,000","8/6/2025"
,"10011657","436 SCRAP","945 ","0","312,850","397,480","-573,550","0","-8,100","0","128,680","3/13/2026"
,"10011657","436 SCRAP","94C ","156,060","0","57,000","0","0","-113,710","0","99,350","5/28/2025"
,"10011657","436 SCRAP","94M ","0","0","59,960","0","0","0","0","59,960","3/27/2026"
,"10011657","436 SCRAP","ASN ","0","0","0","0","0","0","0","0",""
,"10011660","430/439/409 BLEND SC","144 ","4,330,530","339,550","353,290","-411,250","0","0","0","4,612,120","11/26/2024"
,"10011660","430/439/409 BLEND SC","147 ","5,627,495","-296,250","2,657,630","-3,908,900","0","174,450","0","4,254,425","8/28/2025"
,"10011660","430/439/409 BLEND SC","14A ","73,640","0","0","0","0","0","0","73,640","4/17/2025"
,"10011660","430/439/409 BLEND SC","14C ","148,011","-43,300","0","0","0","23,550","0","128,261","2/17/2026"
,"10011660","430/439/409 BLEND SC","14H ","0","0","209,500","0","0","0","-209,500","0","3/26/2026"
,"10011660","430/439/409 BLEND SC","ASN ","0","0","0","0","0","0","0","0",""
