"ENVIRI CORP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MANSFIELD, OH - M36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""

"Pipeline - 09/22/2026 08:43 AM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""

"Equipment ID","Bad Order Details Description","Bad Order Date & Time","Estimated Mechanical Release","Current Location","Event Code","Track/Train","Position","L/E","Tons","Class","Hdlg Cd","Lcl","Commodity","Current ETA","Original NS ETA","ETA Variance","Car Type","Request","Shipper","Consignee","Care Of","STCC","Origin","Destination","Last Event Date & Time","Time Since Last Event","Waybill Number","Waybill Serial Number","Waybill Date & Time","Net Weight (lbs)","Gross Weight (lbs)","Tare Weight (lbs)","Marketing Code","Pool ID","Pool Primary Operating Road SCAC"
"CLVX 807367","","","","MIDDLETOWN, OH","ARIL","MR27","4","L","123","M36","","","ISSCR","09/28/2026 07:30 PM","09/25/2026 07:30 PM","+3 Days","E534","","COHBROTH","CLECLIST","HARSCO CORP","4021125","MIDDLETOWN, OH","MANSFIELD, OH","09/21/2026 09:53 PM","10hrs, 50min","840832","1632129527","09/18/2026 07:26 AM","179,980","245,980","66,000","GB","",""
"AEX 026547","","","","MIDDLETOWN, OH","ARIL","MR27","6","L","131","M36","","","ISSCR","09/28/2026 07:30 PM","09/25/2026 07:30 PM","+3 Days","E534","","COHBROTH","CLECLIST","HARSCO CORP","4021125","MIDDLETOWN, OH","MANSFIELD, OH","09/21/2026 09:53 PM","10hrs, 50min","840169","1631624354","09/17/2026 07:49 AM","200,440","262,140","61,700","GB","",""
"AEX 026519","","","","MIDDLETOWN, OH","ARIL","MR27","7","L","133","M36","","","ISSCR","09/28/2026 07:30 PM","09/25/2026 07:30 PM","+3 Days","E534","","COHBROTH","CLECLIST","HARSCO CORP","4021125","MIDDLETOWN, OH","MANSFIELD, OH","09/21/2026 09:53 PM","10hrs, 50min","840168","1631624273","09/17/2026 07:49 AM","199,980","265,080","65,100","GB","",""
"GONX 340027","","","","FAULKNER, KY","ARIL","376TA21","13","L","129","M36","","","ISSCR","09/30/2026 07:30 PM","09/30/2026 07:30 PM","0","G516","","CLECLIST","CLECLIST","HARSCO","4021125","ROCKPORT, IN","MANSFIELD, OH","09/22/2026 05:43 AM","3hrs","154719","1632904359","09/20/2026 10:46 AM","187,400","258,400","71,000","GB","9990605","TTX"
"AEX 026586","","","","FAULKNER, KY","ARIL","376TA21","14","L","124","M36","","","ISSCR","09/30/2026 07:30 PM","09/30/2026 07:30 PM","0","E534","","CLECLIST","CLECLIST","HARSCO","4021125","ROCKPORT, IN","MANSFIELD, OH","09/22/2026 05:43 AM","3hrs","154720","1632904367","09/20/2026 10:46 AM","186,300","248,700","62,400","GB","",""
"CLVX 804441","","","","FAULKNER, KY","ARIL","376TA21","15","L","137","M36","","","ISSCR","09/30/2026 07:30 PM","09/30/2026 07:30 PM","0","E534","","CLECLIST","CLECLIST","HARSCO","4021125","ROCKPORT, IN","MANSFIELD, OH","09/22/2026 05:43 AM","3hrs","154724","1632906149","09/20/2026 11:01 AM","207,800","273,700","65,900","GB","",""
"RMGX 009089","","","","CONWAY, PA","ARIL","ER10","17","L","129","M36","","","ISSCR","09/25/2026 07:30 PM","09/25/2026 07:30 PM","0","E534","","CLECLIST","CLECLIST","HARSCO","4021125","ROCKPORT, IN","MANSFIELD, OH","09/21/2026 10:26 AM","22hrs, 17min","153810","1630419811","09/14/2026 05:46 PM","188,800","257,300","68,500","GB","",""
"CLVX 804434","","","","CONWAY, PA","ARIL","ER10","18","L","139","M36","","","ISSCR","09/25/2026 07:30 PM","09/25/2026 07:30 PM","0","E534","","CLECLIST","CLECLIST","HARSCO","4021125","ROCKPORT, IN","MANSFIELD, OH","09/21/2026 10:26 AM","22hrs, 17min","153809","1630419803","09/14/2026 05:46 PM","211,900","277,800","65,900","GB","",""
"ZVBX 006141","","","","CONWAY, PA","ARIL","ER10","19","L","140","M36","","","ISSCR","09/25/2026 07:30 PM","09/23/2026 07:30 PM","+2 Days","G519","","LONLANLL","ENVIRI","METALS & MINERALS DIVISION","4021125","LIVERNOIS, MI","MANSFIELD, OH","09/21/2026 10:26 AM","22hrs, 17min","257554","1630701836","09/15/2026 11:43 AM","215,800","279,800","64,000","GD","",""
"GNWR 004066","","","","JEFFERSO,IN","ARIL","LIRC","38","L","131","M36","","","ISSCR","10/02/2026 07:30 PM","","","E534","","KROOT","CLECLIST","CARE OF    ENVIRI CORP","4021125","COLUMBUS, IN","MANSFIELD, OH","09/22/2026 01:29 AM","7hrs, 14min","19993","1633166530","09/21/2026 08:43 AM","199,990","262,590","62,600","GB","4349061","LIRC"
"GNWR 004052","","","","JEFFERSO,IN","ARIL","LIRC","39","L","131","M36","","","ISSCR","10/02/2026 07:30 PM","","","E534","","KROOT","CLECLIST","CARE OF    ENVIRI CORP","4021125","COLUMBUS, IN","MANSFIELD, OH","09/22/2026 01:29 AM","7hrs, 14min","19992","1633161506","09/21/2026 08:39 AM","201,330","262,630","61,300","GB","4349061","LIRC"
"GNWR 004085","","","","BELLEVUE, OH","ARIL","WW04","58","L","118","M36","","","ISSCR","09/25/2026 07:30 PM","09/28/2026 07:30 PM","+3 Days","E534","","KROOT","CLECLIST","CARE OF    ENVIRI CORP","4021125","COLUMBUS, IN","MANSFIELD, OH","09/21/2026 05:40 AM","1days, 3hrs, 3min","19856","1630150718","09/14/2026 09:44 AM","172,500","236,100","63,600","GB","4349061","LIRC"
"GNWR 004063","","","","BELLEVUE, OH","ARIL","WW04","59","L","131","M36","","","ISSCR","09/25/2026 07:30 PM","09/28/2026 07:30 PM","+3 Days","E534","","KROOT","CLECLIST","CARE OF    ENVIRI CORP","4021125","COLUMBUS, IN","MANSFIELD, OH","09/21/2026 05:40 AM","1days, 3hrs, 3min","19858","1630150700","09/14/2026 09:44 AM","199,160","262,960","63,800","GB","4349061","LIRC"
"AEX 019546","","","","ROCKPORT, IN","RLOD","R01   02","87","L","124","M36","","","ISSCR","","","","E534","Pull Loaded","CLECLIST","CLECLIST","HARSCO","4021125","ROCKPORT, IN","MANSFIELD, OH","09/21/2026 10:46 AM","21hrs, 57min","154819","1633263374","09/21/2026 11:46 AM","179,600","247,400","67,800","GB","",""
"CLVX 804012","","","","ROCKPORT, IN","RLOD","R01   02","98","L","133","M36","","","ISSCR","","","","E534","Pull Loaded","CLECLIST","CLECLIST","HARSCO","4021125","ROCKPORT, IN","MANSFIELD, OH","09/21/2026 10:46 AM","21hrs, 57min","154818","1633263366","09/21/2026 11:46 AM","199,100","265,200","66,100","GB","",""
"AEX 026511","","","","ROCKPORT, IN","RLOD","R01   02","101","L","129","M36","","","ISSCR","","","","E534","Pull Loaded","CLECLIST","CLECLIST","HARSCO","4021125","ROCKPORT, IN","MANSFIELD, OH","09/21/2026 10:46 AM","21hrs, 57min","154817","1633263358","09/21/2026 11:46 AM","191,800","257,100","65,300","GB","",""
"AEX 026583","","","","ROCKPORT, IN","RLOD","R01   02","131","L","117","M36","","","ISSCR","","","","E534","Pull Loaded","CLECLIST","CLECLIST","HARSCO","4021125","ROCKPORT, IN","MANSFIELD, OH","09/21/2026 10:46 AM","21hrs, 57min","154816","1633263340","09/21/2026 11:46 AM","172,300","234,900","62,600","GB","0000032","NS"
